[*] Đọc collection: C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\..\Day03-06-2026\PhoBERT_100Cases_Collection.json
[*] Tổng số test cases: 100
  [ 84/100] Ca 84 - 64-bao-cao-do-an-csdl-21-he-thong-quan-ly-dat-tiec-cuoi-nha-..... score= 7.63 | False Positive (FP)  |   13374ms
  [ 85/100] Ca 85 - 65-do-an-1-quan-ly-tour-du-lich-bai-luan-chi-tiet-nghien-cuu..... score= 9.00 | False Positive (FP)  |   12051ms
  [ 86/100] Ca 86 - 66-du-an-kinh-doanh-quan-ao-secondhand-tai-thu-duc-lap-du-an..... score= 8.97 | False Positive (FP)  |   11674ms
  [ 87/100] Ca 87 - 67-do-an-cs-4-xay-dung-ung-dung-tro-choi-co-vua.pdf... (MATCH)... score= 7.96 | True Positive (TP)   |    9484ms
  [ 88/100] Ca 88 - 68-do-an-cs353-phan-tich-thiet-ke-he-thong-quan-ly-nha-tro.p..... score= 7.56 | True Positive (TP)   |   12074ms
  [ 89/100] Ca 89 - 69-do-an-nhom-he-thong-quan-ly-thanh-vien-phong-gym-tich-hop..... score= 6.26 | False Positive (FP)  |   12105ms
  [ 90/100] Ca 90 - 70-ke-hoach-phuc-hoi-sau-tham-hoa-drp-cho-he-thong-thong-tin..... score= 6.33 | False Positive (FP)  |   11580ms
  [ 91/100] Ca 91 - 71-do-an-tot-nghiep-xay-dung-nen-tang-data-lakehouse-cho-tin..... score= 9.00 | True Positive (TP)   |   20689ms
  [ 92/100] Ca 92 - 72-do-an-mon-hoc-22it-nghien-cuu-mo-hinh-private-cloud-voi-o..... score= 8.94 | False Positive (FP)  |   12281ms
  [ 93/100] Ca 93 - 73-nt533q13-do-an-mon-hoc-trien-khai-cicd-pipeline-va-iac.pd..... score= 6.29 | False Positive (FP)  |   11645ms
  [ 94/100] Ca 94 - 74-do-an-ca-nhan-mon-mang-may-tinh-tim-hieu-ve-ky-thuat-giau..... score= 7.52 | False Positive (FP)  |   12540ms
  [ 95/100] Ca 95 - 75-nghien-cuu-ky-thuat-honeypot-xay-dung-he-thong-bay-tan-co..... score= 9.00 | True Positive (TP)   |   12338ms
  [ 96/100] Ca 96 - 76-he-thong-chat-bao-mat-ma-hoa-khoa-luan-tot-nghiep-2025.pd..... score= 6.33 | False Positive (FP)  |   19090ms
  [ 97/100] Ca 97 - 77-bao-cao-nhap-mon-ky-nang-mem-he-thong-danh-gia-do-manh-ma..... score= 8.94 | False Positive (FP)  |   12108ms
  [ 98/100] Ca 98 - 78-giai-phap-nang-cao-hieu-qua-day-hoc-cau-truc-tuan-tu-tron..... score= 6.33 | False Positive (FP)  |    8897ms
  [ 99/100] Ca 99 - 79-htttql-nhom-4-tieu-luan-cuoi-ky-ve-ung-dung-vr-va-ar-tai-..... score= 7.67 | False Positive (FP)  |   12549ms
  [100/100] Ca 100 - 80-do-an-tot-nghiep-nghien-cuu-cong-nghe-thuc-te-ao-va-ung-d.... score= 7.67 | False Positive (FP)  |   14029ms

[*] Ghi kết quả CSV: C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\PhoBERT_100Cases_Results_NEW.csv
Traceback (most recent call last):
  File "C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\run_100cases_test.py", line 136, in <module>
    with open(CSV_OUT, "w", newline="", encoding="utf-8-sig") as f:
         ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: 'C:\\Users\\Lenovo\\Downloads\\FileTaiLieuHK8\\DoAnKySu\\Web3-GiangVien\\Document\\Day13-06-2026\\PhoBERT_100Cases_Results_NEW.csv'
